id,name,value,yearid,subjectid
1,创新度,0.8,1,2
2,创新度,0.85,1,3
3,创新度,0.85,1,4
4,创新度,0.7,1,5
5,创新度,0.85,1,6
6,创新度,0.7,1,7
7,创新度,0.95,1,8
8,创新度,0.6,1,9
9,创新度,0.5,1,10
10,创新度,0.75,1,11
11,创新度,0.9,1,12
12,创新度,0.9,1,13
13,创新度,0.7,1,14
14,创新度,0.65,1,15
15,创新度,0.5,1,16
16,创新度,0.95,1,17
17,创新度,0.7,1,18
18,创新度,0.6,1,19
19,创新度,0.8,1,20
20,创新度,0.6,1,21
21,创新度,0.6,1,22
22,创新度,0.7,1,23
23,创新度,0.65,1,24
24,创新度,0.7,1,25
25,创新度,0.55,1,26
26,创新度,0.65,1,27
27,创新度,0.75,1,28
28,创新度,0.65,1,29
29,创新度,0.5,1,30
30,创新度,0.65,1,31
31,创新度,0.55,1,32
32,创新度,0.4,1,33
33,创新度,0.45,1,34
34,创新度,0.55,1,35
35,创新度,0.4,1,36
36,鉴赏度,1,1,2
37,鉴赏度,0.803781964293514,1,3
38,鉴赏度,0.139948491180329,1,4
39,鉴赏度,0.218888186986734,1,5
40,鉴赏度,0,1,6
41,鉴赏度,0.55465842798356,1,7
42,鉴赏度,0,1,8
43,鉴赏度,0.41864799761199,1,9
44,鉴赏度,0.274802366234358,1,10
45,鉴赏度,0,1,11
46,鉴赏度,0.931143398610234,1,12
47,鉴赏度,0.0694883133291219,1,13
48,鉴赏度,0.312697409981049,1,14
49,鉴赏度,0.625394819962097,1,15
50,鉴赏度,0.945041061276058,1,16
51,鉴赏度,0,1,17
52,鉴赏度,0,1,18
53,鉴赏度,0.0694883133291219,1,19
54,鉴赏度,0,1,20
55,鉴赏度,0.064143058457651,1,21
56,鉴赏度,0,1,22
57,鉴赏度,0,1,23
58,鉴赏度,0.221099178774479,1,24
59,鉴赏度,0.333543903979785,1,25
60,鉴赏度,0.0238245645699847,1,26
61,鉴赏度,0,1,27
62,鉴赏度,0,1,28
63,鉴赏度,0.064143058457651,1,29
64,鉴赏度,0,1,30
65,鉴赏度,0,1,31
66,鉴赏度,0,1,32
67,鉴赏度,0,1,33
68,鉴赏度,0,1,34
69,鉴赏度,0,1,35
70,鉴赏度,0,1,36
71,时效度,0.25,1,2
72,时效度,0.125,1,3
73,时效度,0.166666666666667,1,4
74,时效度,0.25,1,5
75,时效度,0.2,1,6
76,时效度,0.25,1,7
77,时效度,0.125,1,8
78,时效度,0.2,1,9
79,时效度,0.2,1,10
80,时效度,0.166666666666667,1,11
81,时效度,0.0909090909090909,1,12
82,时效度,0.111111111111111,1,13
83,时效度,0.142857142857143,1,14
84,时效度,0.125,1,15
85,时效度,0.142857142857143,1,16
86,时效度,0.1,1,17
87,时效度,0.142857142857143,1,18
88,时效度,0.142857142857143,1,19
89,时效度,0.111111111111111,1,20
90,时效度,0.142857142857143,1,21
91,时效度,0.2,1,22
92,时效度,0.125,1,23
93,时效度,0.2,1,24
94,时效度,0.125,1,25
95,时效度,0.0909090909090909,1,26
96,时效度,0.125,1,27
97,时效度,0.111111111111111,1,28
98,时效度,0.2,1,29
99,时效度,0.125,1,30
100,时效度,0.125,1,31
101,时效度,0.125,1,32
102,时效度,0.142857142857143,1,33
103,时效度,0.111111111111111,1,34
104,时效度,0.1,1,35
105,时效度,0.111111111111111,1,36
106,显示度,0.259533088993,1,2
107,显示度,0.238442298499,1,3
108,显示度,0.214907087263,1,4
109,显示度,0.269945868907,1,5
110,显示度,0.204481764731,1,6
111,显示度,0.276675277053,1,7
112,显示度,0.087960076668,1,8
113,显示度,0.337907803293,1,9
